nivel_territorial_codigo,nivel_territorial,unidade_de_medida_codigo,unidade_de_medida,valor,municipio_codigo,municipio,ano_codigo,ano,variavel_codigo,variavel,tipo_de_rebanho_codigo,tipo_de_rebanho
6,Município,24,Cabeças,37121,3301009,Campos dos Goytacazes (RJ),1992,1992,105,Efetivo dos rebanhos,32793,Galináceos - galinhas
6,Município,24,Cabeças,621,3301009,Campos dos Goytacazes (RJ),1992,1992,105,Efetivo dos rebanhos,2680,Codornas
6,Município,24,Cabeças,185042,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,2670,Bovino
6,Município,24,Cabeças,92,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,2675,Bubalino
6,Município,24,Cabeças,8505,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,2672,Equino
6,Município,24,Cabeças,18061,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,32794,Suíno - total
6,Município,24,Cabeças,NA,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,32795,Suíno - matrizes de suínos
6,Município,24,Cabeças,1108,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,2681,Caprino
6,Município,24,Cabeças,1708,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,2677,Ovino
6,Município,24,Cabeças,175585,3301009,Campos dos Goytacazes (RJ),1993,1993,105,Efetivo dos rebanhos,32796,Galináceos - total
